LineItem,Period,Value,Unit,ValueRaw,Company,Section
Equity Capital,FY2022,235.0,Cr,235,HUL,BalanceSheet
Equity Capital,FY2023,235.0,Cr,235,HUL,BalanceSheet
Equity Capital,FY2024,235.0,Cr,235,HUL,BalanceSheet
Equity Capital,FY2025,235.0,Cr,235,HUL,BalanceSheet
Equity Capital,FY2026,235.0,Cr,235,HUL,BalanceSheet
Reserves,FY2015,3508.0,Cr,"3,508",HUL,BalanceSheet
Reserves,FY2016,6063.0,Cr,"6,063",HUL,BalanceSheet
Reserves,FY2017,6274.0,Cr,"6,274",HUL,BalanceSheet
Reserves,FY2018,6859.0,Cr,"6,859",HUL,BalanceSheet
Reserves,FY2019,7443.0,Cr,"7,443",HUL,BalanceSheet
Reserves,FY2020,7815.0,Cr,"7,815",HUL,BalanceSheet
Reserves,FY2021,47199.0,Cr,"47,199",HUL,BalanceSheet
Reserves,FY2022,48525.0,Cr,"48,525",HUL,BalanceSheet
Reserves,FY2023,49986.0,Cr,"49,986",HUL,BalanceSheet
Reserves,FY2024,50738.0,Cr,"50,738",HUL,BalanceSheet
Reserves,FY2025,48918.0,Cr,"48,918",HUL,BalanceSheet
Reserves,FY2026,48988.0,Cr,"48,988",HUL,BalanceSheet
Borrowings,FY2015,0.0,Cr,0,HUL,BalanceSheet
Borrowings,FY2016,0.0,Cr,0,HUL,BalanceSheet
Borrowings,FY2017,0.0,Cr,0,HUL,BalanceSheet
Borrowings,FY2018,0.0,Cr,0,HUL,BalanceSheet
Borrowings,FY2019,0.0,Cr,0,HUL,BalanceSheet
Borrowings,FY2020,0.0,Cr,0,HUL,BalanceSheet
Borrowings,FY2021,943.0,Cr,943,HUL,BalanceSheet
Borrowings,FY2022,971.0,Cr,971,HUL,BalanceSheet
Borrowings,FY2023,1039.0,Cr,"1,039",HUL,BalanceSheet
Borrowings,FY2024,1374.0,Cr,"1,374",HUL,BalanceSheet
Borrowings,FY2025,1537.0,Cr,"1,537",HUL,BalanceSheet
Borrowings,FY2026,1325.0,Cr,"1,325",HUL,BalanceSheet
Other Liabilities,FY2015,9909.0,Cr,"9,909",HUL,BalanceSheet
Other Liabilities,FY2016,7641.0,Cr,"7,641",HUL,BalanceSheet
Other Liabilities,FY2017,8261.0,Cr,"8,261",HUL,BalanceSheet
Other Liabilities,FY2018,10074.0,Cr,"10,074",HUL,BalanceSheet
Other Liabilities,FY2019,10206.0,Cr,"10,206",HUL,BalanceSheet
Other Liabilities,FY2020,11571.0,Cr,"11,571",HUL,BalanceSheet
Other Liabilities,FY2021,19739.0,Cr,"19,739",HUL,BalanceSheet
Other Liabilities,FY2022,20006.0,Cr,"20,006",HUL,BalanceSheet
Other Liabilities,FY2023,20565.0,Cr,"20,565",HUL,BalanceSheet
Other Liabilities,FY2024,24729.0,Cr,"24,729",HUL,BalanceSheet
Other Liabilities,FY2025,27623.0,Cr,"27,623",HUL,BalanceSheet
Other Liabilities,FY2026,27434.0,Cr,"27,434",HUL,BalanceSheet
Total Liabilities,FY2015,13634.0,Cr,"13,634",HUL,BalanceSheet
Total Liabilities,FY2016,13920.0,Cr,"13,920",HUL,BalanceSheet
Total Liabilities,FY2017,14751.0,Cr,"14,751",HUL,BalanceSheet
Total Liabilities,FY2018,17149.0,Cr,"17,149",HUL,BalanceSheet
Total Liabilities,FY2019,17865.0,Cr,"17,865",HUL,BalanceSheet
Total Liabilities,FY2020,19602.0,Cr,"19,602",HUL,BalanceSheet
Total Liabilities,FY2021,68116.0,Cr,"68,116",HUL,BalanceSheet
Total Liabilities,FY2022,69737.0,Cr,"69,737",HUL,BalanceSheet
Total Liabilities,FY2023,71825.0,Cr,"71,825",HUL,BalanceSheet
Total Liabilities,FY2024,77076.0,Cr,"77,076",HUL,BalanceSheet
Total Liabilities,FY2025,78313.0,Cr,"78,313",HUL,BalanceSheet
Total Liabilities,FY2026,77982.0,Cr,"77,982",HUL,BalanceSheet
Fixed Assets,FY2015,2458.0,Cr,"2,458",HUL,BalanceSheet
Fixed Assets,FY2016,2914.0,Cr,"2,914",HUL,BalanceSheet
Fixed Assets,FY2017,4024.0,Cr,"4,024",HUL,BalanceSheet
Fixed Assets,FY2018,4142.0,Cr,"4,142",HUL,BalanceSheet
Fixed Assets,FY2019,4343.0,Cr,"4,343",HUL,BalanceSheet
Fixed Assets,FY2020,5056.0,Cr,"5,056",HUL,BalanceSheet
Fixed Assets,FY2021,51027.0,Cr,"51,027",HUL,BalanceSheet
Fixed Assets,FY2022,51034.0,Cr,"51,034",HUL,BalanceSheet
Fixed Assets,FY2023,51405.0,Cr,"51,405",HUL,BalanceSheet
Fixed Assets,FY2024,52379.0,Cr,"52,379",HUL,BalanceSheet
Fixed Assets,FY2025,52907.0,Cr,"52,907",HUL,BalanceSheet
Fixed Assets,FY2026,52419.0,Cr,"52,419",HUL,BalanceSheet
CWIP,FY2015,479.0,Cr,479,HUL,BalanceSheet
CWIP,FY2016,386.0,Cr,386,HUL,BalanceSheet
CWIP,FY2017,203.0,Cr,203,HUL,BalanceSheet
CWIP,FY2018,430.0,Cr,430,HUL,BalanceSheet
CWIP,FY2019,373.0,Cr,373,HUL,BalanceSheet
CWIP,FY2020,513.0,Cr,513,HUL,BalanceSheet
CWIP,FY2021,623.0,Cr,623,HUL,BalanceSheet
CWIP,FY2022,901.0,Cr,901,HUL,BalanceSheet
CWIP,FY2023,1020.0,Cr,"1,020",HUL,BalanceSheet
CWIP,FY2024,915.0,Cr,915,HUL,BalanceSheet
CWIP,FY2025,956.0,Cr,956,HUL,BalanceSheet
CWIP,FY2026,833.0,Cr,833,HUL,BalanceSheet
Investments,FY2015,3278.0,Cr,"3,278",HUL,BalanceSheet
Investments,FY2016,2780.0,Cr,"2,780",HUL,BalanceSheet
Investments,FY2017,3779.0,Cr,"3,779",HUL,BalanceSheet
Investments,FY2018,3111.0,Cr,"3,111",HUL,BalanceSheet
Investments,FY2019,2949.0,Cr,"2,949",HUL,BalanceSheet
Investments,FY2020,1500.0,Cr,"1,500",HUL,BalanceSheet
Investments,FY2021,2995.0,Cr,"2,995",HUL,BalanceSheet
Investments,FY2022,4122.0,Cr,"4,122",HUL,BalanceSheet
Investments,FY2023,3794.0,Cr,"3,794",HUL,BalanceSheet
Investments,FY2024,5493.0,Cr,"5,493",HUL,BalanceSheet
Investments,FY2025,4602.0,Cr,"4,602",HUL,BalanceSheet
Investments,FY2026,8879.0,Cr,"8,879",HUL,BalanceSheet
Other Assets,FY2015,7420.0,Cr,"7,420",HUL,BalanceSheet
Other Assets,FY2016,7840.0,Cr,"7,840",HUL,BalanceSheet
Other Assets,FY2017,6745.0,Cr,"6,745",HUL,BalanceSheet
Other Assets,FY2018,9466.0,Cr,"9,466",HUL,BalanceSheet
Other Assets,FY2019,10200.0,Cr,"10,200",HUL,BalanceSheet
Other Assets,FY2020,12533.0,Cr,"12,533",HUL,BalanceSheet
Other Assets,FY2021,13471.0,Cr,"13,471",HUL,BalanceSheet
Other Assets,FY2022,13680.0,Cr,"13,680",HUL,BalanceSheet
Other Assets,FY2023,15606.0,Cr,"15,606",HUL,BalanceSheet
Other Assets,FY2024,18289.0,Cr,"18,289",HUL,BalanceSheet
Other Assets,FY2025,19848.0,Cr,"19,848",HUL,BalanceSheet
Other Assets,FY2026,15851.0,Cr,"15,851",HUL,BalanceSheet
Total Assets,FY2015,13634.0,Cr,"13,634",HUL,BalanceSheet
Total Assets,FY2016,13920.0,Cr,"13,920",HUL,BalanceSheet
Total Assets,FY2017,14751.0,Cr,"14,751",HUL,BalanceSheet
Total Assets,FY2018,17149.0,Cr,"17,149",HUL,BalanceSheet
Total Assets,FY2019,17865.0,Cr,"17,865",HUL,BalanceSheet
Total Assets,FY2020,19602.0,Cr,"19,602",HUL,BalanceSheet
Total Assets,FY2021,68116.0,Cr,"68,116",HUL,BalanceSheet
Total Assets,FY2022,69737.0,Cr,"69,737",HUL,BalanceSheet
Total Assets,FY2023,71825.0,Cr,"71,825",HUL,BalanceSheet
Total Assets,FY2024,77076.0,Cr,"77,076",HUL,BalanceSheet
Total Assets,FY2025,78313.0,Cr,"78,313",HUL,BalanceSheet
Total Assets,FY2026,77982.0,Cr,"77,982",HUL,BalanceSheet
Cash from Operating Activity,FY2015,3272.0,Cr,"3,272",HUL,CashFlow
Cash from Operating Activity,FY2016,3974.0,Cr,"3,974",HUL,CashFlow
Cash from Operating Activity,FY2017,4953.0,Cr,"4,953",HUL,CashFlow
Cash from Operating Activity,FY2018,5913.0,Cr,"5,913",HUL,CashFlow
Cash from Operating Activity,FY2019,5728.0,Cr,"5,728",HUL,CashFlow
Cash from Operating Activity,FY2020,7305.0,Cr,"7,305",HUL,CashFlow
Cash from Operating Activity,FY2021,8957.0,Cr,"8,957",HUL,CashFlow
Cash from Operating Activity,FY2022,8964.0,Cr,"8,964",HUL,CashFlow
Cash from Operating Activity,FY2023,9626.0,Cr,"9,626",HUL,CashFlow
Cash from Operating Activity,FY2024,14884.0,Cr,"14,884",HUL,CashFlow
Cash from Operating Activity,FY2025,11606.0,Cr,"11,606",HUL,CashFlow
Cash from Operating Activity,FY2026,10496.0,Cr,"10,496",HUL,CashFlow
Cash from Investing Activity,FY2015,280.0,Cr,280,HUL,CashFlow
Cash from Investing Activity,FY2016,-51.0,Cr,-51,HUL,CashFlow
Cash from Investing Activity,FY2017,-752.0,Cr,-752,HUL,CashFlow
Cash from Investing Activity,FY2018,-1261.0,Cr,"-1,261",HUL,CashFlow
Cash from Investing Activity,FY2019,-264.0,Cr,-264,HUL,CashFlow
Cash from Investing Activity,FY2020,1926.0,Cr,"1,926",HUL,CashFlow
Cash from Investing Activity,FY2021,-1067.0,Cr,"-1,067",HUL,CashFlow
